name,description,score,m_score,price
MacBook Air (11-inch Early 2015),Intel Core i7-5650U @ 2.2 GHz (2 cores),744,1568,0
iMac (27-inch Late 2012),Intel Core i5-3470 @ 3.2 GHz (4 cores),747,2433,0
MacBook Pro (13-inch Late 2016),Intel Core i7-6660U @ 2.4 GHz (2 cores),747,1768,0
iMac (27-inch Late 2012),Intel Core i5-3470S @ 2.9 GHz (4 cores),749,2373,0
MacBook Pro (15-inch Retina Late 2013),Intel Core i7-4750HQ @ 2.0 GHz (4 cores),750,2912,0
iMac (21.5-inch Late 2012),Intel Core i5-3470S @ 2.9 GHz (4 cores),753,2404,0
MacBook Pro (15-inch Mid 2012),Intel Core i7-3820QM @ 2.7 GHz (4 cores),754,2940,0
iMac (21.5-inch Late 2013),Intel Core i5-4570R @ 2.7 GHz (4 cores),755,2549,0
MacBook Air (Late 2018),Intel Core i5-8210Y @ 1.6 GHz (2 cores),758,1532,0
Mac mini (Late 2014),Intel Core i5-4308U @ 2.8 GHz (2 cores),760,1647,0
MacBook Pro (13-inch Retina Early 2015),Intel Core i5-5287U @ 2.9 GHz (2 cores),761,1615,0
MacBook Pro (13-inch Late 2016),Intel Core i5-6287U @ 3.1 GHz (2 cores),769,1798,0
MacBook Pro (13-inch Late 2016),Intel Core i7-6567U @ 3.3 GHz (2 cores),771,1824,0
MacBook (Mid 2017),Intel Core i7-7Y75 @ 1.4 GHz (2 cores),771,1590,0
Mac mini (Late 2014),Intel Core i7-4578U @ 3.0 GHz (2 cores),773,1632,0
MacBook Pro (13-inch Retina Mid 2014),Intel Core i7-4578U @ 3.0 GHz (2 cores),780,1605,0
MacBook Pro (15-inch Late 2016),Intel Core i7-6700HQ @ 2.6 GHz (4 cores),787,3203,0
MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4770HQ @ 2.2 GHz (4 cores),796,3102,0
MacBook Pro (13-inch Retina Early 2015),Intel Core i7-5557U @ 3.1 GHz (2 cores),799,1668,0
MacBook Pro (15-inch Retina Mid 2014),Intel Core i7-4770HQ @ 2.2 GHz (4 cores),800,3097,0
MacBook Pro (15-inch Late 2016),Intel Core i7-6820HQ @ 2.7 GHz (4 cores),804,3265,0
iMac (27-inch Late 2012),Intel Core i7-3770 @ 3.4 GHz (4 cores),814,3092,0
MacBook Pro (15-inch Retina Late 2013),Intel Core i7-4850HQ @ 2.3 GHz (4 cores),815,3132,0
Mac Pro (Late 2013),Intel Xeon E5-1650 v2 @ 3.5 GHz (6 cores),817,4631,0
Mac Pro (Late 2013),Intel Xeon E5-1620 v2 @ 3.7 GHz (4 cores),817,3273,0
iMac (21.5-inch Late 2012),Intel Core i7-3770S @ 3.1 GHz (4 cores),824,3077,0
Mac Pro (Late 2013),Intel Xeon E5-1680 v2 @ 3.0 GHz (8 cores),825,5857,0
MacBook Pro (13-inch Mid 2017),Intel Core i5-7267U @ 3.1 GHz (2 cores),830,2005,0
iMac (21.5-inch Late 2013),Intel Core i5-4570S @ 2.9 GHz (4 cores),839,2611,0
iMac (21.5-inch Late 2015),Intel Core i5-5575R @ 2.8 GHz (4 cores),842,2888,0
iMac (27-inch Late 2013),Intel Core i5-4570 @ 3.2 GHz (4 cores),845,2682,0
MacBook Pro (15-inch Late 2016),Intel Core i7-6920HQ @ 2.9 GHz (4 cores),853,3409,0
iMac (27-inch Retina Late 2015),Intel Core i5-6500 @ 3.2 GHz (4 cores),856,2938,0
iMac (21.5-inch Retina Mid 2017),Intel Core i5-7400 @ 3.0 GHz (4 cores),859,3006,0
MacBook Pro (13-inch Mid 2017),Intel Core i5-7360U @ 2.3 GHz (2 cores),860,2051,0
MacBook Pro (15-inch Mid 2017),Intel Core i7-7700HQ @ 2.8 GHz (4 cores),862,3394,0
MacBook Pro (15-inch Retina Mid 2014),Intel Core i7-4870HQ @ 2.5 GHz (4 cores),863,3185,0
MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4870HQ @ 2.5 GHz (4 cores),864,3230,0
MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4870HQ @ 2.5 GHz (4 cores),864,3230,0
iMac (21.5-inch Mid 2017),Intel Core i5-7360U @ 2.3 GHz (2 cores),865,2064,0
MacBook Pro (15-inch Retina Late 2013),Intel Core i7-4960HQ @ 2.6 GHz (4 cores),887,3303,0
iMac (27-inch Late 2013),Intel Core i5-4670 @ 3.4 GHz (4 cores),891,2816,0
MacBook Pro (15-inch Mid 2017),Intel Core i7-7820HQ @ 2.9 GHz (4 cores),894,3506,0
MacBook Pro (13-inch Mid 2018),Intel Core i5-8259U @ 2.3 GHz (4 cores),898,3866,0
iMac (21.5-inch Late 2013),Intel Core i7-4770S @ 3.1 GHz (4 cores),906,3323,0
MacBook Pro (13-inch Mid 2017),Intel Core i7-7567U @ 3.5 GHz (2 cores),908,2122,0
iMac (27-inch Late 2013),Intel Core i7-4771 @ 3.5 GHz (4 cores),911,3416,0
iMac (21.5-inch Retina Late 2015),Intel Core i5-5675R @ 3.1 GHz (4 cores),911,3105,0
iMac (27-inch Retina),Intel Core i5-4690 @ 3.5 GHz (4 cores),915,2912,0
iMac (27-inch Retina Mid 2017),Intel Core i5-7500 @ 3.4 GHz (4 cores),915,3215,0
Mac mini (Late 2018),Intel Core i3-8100B @ 3.6 GHz (4 cores),915,3278,799
MacBook Pro (15-inch Retina Mid 2014),Intel Core i7-4980HQ @ 2.8 GHz (4 cores),916,3260,2523
iMac (21.5-inch Retina Early 2019),Intel Core i3-8100 @ 3.6 GHz (4 cores),916,3270,1299
iMac (21.5-inch Retina Mid 2017),Intel Core i5-7500 @ 3.4 GHz (4 cores),925,3233,0
MacBook Pro (15-inch Mid 2017),Intel Core i7-7920HQ @ 3.1 GHz (4 cores),927,3530,0
iMac (27-inch Retina Late 2015),Intel Core i5-6600 @ 3.3 GHz (4 cores),929,3188,0
MacBook Pro (15-inch Retina Mid 2015),Intel Core i7-4980HQ @ 2.8 GHz (4 cores),932,3374,2483
MacBook Pro (13-inch Mid 2019),Intel Core i5-8257U @ 1.4 GHz (4 cores),933,3850,1299
